average_entropy,average_policy_loss,average_value,average_value_loss,eplenmean,eprewmean,eval_eplenmean,eval_eprewmean,explained_variance,fps,n_updates,num_ppo_update,steps,total_steps
2.0727208,-0.03654924279078841,1.6000955,0.13539728797972203,101.66,3.43,105.82,3.27,0.5889162549267795,690,3600,150.0,38400,153600
2.1270006,-0.03490743530914187,1.2360371,0.1196129983663559,101.22,3.36,105.61,3.32,0.6184820835452103,704,3624,151.0,38656,154624
2.1651576,-0.03334521040320396,1.5892593,0.11841550327837468,102.23,3.26,105.82,3.28,0.751105766047726,720,3648,152.0,38912,155648
2.0726433,-0.030763643998652695,0.9550015,0.12955954059958458,101.76,3.33,105.01,3.39,0.31517595913860375,731,3672,153.0,39168,156672
2.1514468,-0.03260357633233071,1.5452248,0.13843169838190078,103.94,3.34,104.02,3.21,0.4197297757495474,740,3696,154.0,39424,157696
2.1065307,-0.03832975272089243,1.7748467,0.15889302015304566,106.51,3.58,105.03,3.31,0.45483321032147084,740,3720,155.0,39680,158720
2.1040797,-0.032868339661508796,1.436468,0.17449309125542642,106.62,3.56,106.54,3.31,0.5342491956593811,741,3744,156.0,39936,159744
2.080227,-0.03710831165313721,1.4703809,0.1571082803606987,109.05,3.46,109.82,3.53,0.34084892060112126,742,3768,157.0,40192,160768
2.0441394,-0.037289240658283235,1.5412915,0.14549091931432487,109.7,3.38,107.59,3.58,0.5380851186174049,700,3792,158.0,40448,161792
2.1170146,-0.038980704378336666,1.4294113,0.13012162689119577,109.02,3.36,108.14,3.53,0.7141430803641302,682,3816,159.0,40704,162816
2.021282,-0.038114300109446046,1.7559847,0.12997406501322983,111.76,3.55,110.55,3.49,0.5367955377268145,711,3840,160.0,40960,163840
1.9973878,-0.041026206761598585,1.5756955,0.14074142817407848,114.92,3.6,112.24,3.68,0.3603820078208546,726,3864,161.0,41216,164864
2.0597425,-0.03844167495146394,1.5668235,0.15875179722905158,116.56,3.74,111.9,3.62,0.5700850570467567,732,3888,162.0,41472,165888
2.0929878,-0.03785261433571577,1.6268914,0.16074411474168301,116.56,3.85,112.14,3.59,0.49308892707266594,729,3912,163.0,41728,166912
